"respondent_id","block","profile","price_all","washes_all","donations_all","emissions_all","choice","buy"
2,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
3,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
3,1,"10","€165","57 washes","no donations","37 ktons",0,NA
3,1,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"Yes"
3,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
3,2,"14","€165","57 washes","2% donated","carbon neutral",1,"No"
3,2,"15","€35","32 washes","no donations","37 ktons",0,NA
3,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"Yes"
3,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
3,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
3,4,"23","€100","57 washes","2% donated","37 ktons",1,"Yes"
3,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
3,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
3,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
3,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
3,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
3,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
3,6,"20","€165","32 washes","2% donated","37 ktons",1,"No"
3,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
3,7,"1","€100","57 washes","no donations","72.6 ktons",1,"Yes"
3,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
3,7,"2","€35","32 washes","2% donated","carbon neutral",0,NA
3,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
3,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
3,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
3,9,"29","€100","32 washes","4.75% donated","carbon neutral",0,NA
3,9,"6","€35","57 washes","no donations","72.6 ktons",1,"Yes"
3,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
3,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
3,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
3,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
4,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
4,1,"10","€165","57 washes","no donations","37 ktons",1,"No"
4,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
4,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
4,2,"14","€165","57 washes","2% donated","carbon neutral",1,"Yes"
4,2,"15","€35","32 washes","no donations","37 ktons",0,NA
4,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"Yes"
4,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
4,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
4,4,"23","€100","57 washes","2% donated","37 ktons",1,"Yes"
4,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
4,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
4,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
4,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
4,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
4,6,"18","€100","7 washes","no donations","carbon neutral",1,"No"
4,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
4,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
4,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
4,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
4,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
4,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
4,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
4,8,"21","€35","7 washes","no donations","carbon neutral",1,"Yes"
4,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"Yes"
4,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
4,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
4,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
4,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
4,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
5,1,"5","€100","7 washes","2% donated","carbon neutral",1,"No"
5,1,"10","€165","57 washes","no donations","37 ktons",0,NA
5,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
5,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
5,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
5,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
5,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"No"
5,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
5,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
5,4,"23","€100","57 washes","2% donated","37 ktons",1,"No"
5,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
5,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
5,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
5,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
5,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
5,6,"18","€100","7 washes","no donations","carbon neutral",1,"No"
5,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
5,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
5,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
5,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
5,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
5,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
5,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
5,8,"21","€35","7 washes","no donations","carbon neutral",1,"No"
5,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"No"
5,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
5,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
5,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
5,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
5,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
6,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
6,1,"10","€165","57 washes","no donations","37 ktons",1,"No"
6,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
6,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
6,2,"14","€165","57 washes","2% donated","carbon neutral",1,"Yes"
6,2,"15","€35","32 washes","no donations","37 ktons",0,NA
6,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"No"
6,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
6,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
6,4,"23","€100","57 washes","2% donated","37 ktons",1,"No"
6,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
6,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
6,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
6,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
6,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
6,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
6,6,"20","€165","32 washes","2% donated","37 ktons",1,"No"
6,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
6,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
6,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
6,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
6,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
6,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
6,8,"21","€35","7 washes","no donations","carbon neutral",1,"No"
6,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"No"
6,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
6,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
6,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
6,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
6,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
7,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
7,1,"10","€165","57 washes","no donations","37 ktons",0,NA
7,1,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"No"
7,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
7,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
7,2,"15","€35","32 washes","no donations","37 ktons",1,"No"
7,3,"8","€100","57 washes","2% donated","72.6 ktons",0,NA
7,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
7,3,"9","€35","7 washes","4.75% donated","37 ktons",1,"No"
7,4,"23","€100","57 washes","2% donated","37 ktons",0,NA
7,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
7,4,"24","€35","32 washes","no donations","72.6 ktons",1,"No"
7,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
7,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
7,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"No"
7,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
7,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
7,6,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"No"
7,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
7,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
7,7,"2","€35","32 washes","2% donated","carbon neutral",1,"No"
7,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
7,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
7,8,"21","€35","7 washes","no donations","carbon neutral",1,"No"
7,9,"29","€100","32 washes","4.75% donated","carbon neutral",0,NA
7,9,"6","€35","57 washes","no donations","72.6 ktons",1,"No"
7,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
7,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
7,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
7,10,"25","€35","57 washes","no donations","carbon neutral",1,"No"
8,1,"5","€100","7 washes","2% donated","carbon neutral",1,"No"
8,1,"10","€165","57 washes","no donations","37 ktons",0,NA
8,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
8,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
8,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
8,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
8,3,"8","€100","57 washes","2% donated","72.6 ktons",0,NA
8,3,"7","€165","32 washes","no donations","carbon neutral",1,"Yes"
8,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
8,4,"23","€100","57 washes","2% donated","37 ktons",1,"Yes"
8,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
8,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
8,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
8,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
8,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
8,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
8,6,"20","€165","32 washes","2% donated","37 ktons",1,"No"
8,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
8,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
8,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
8,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
8,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
8,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
8,8,"21","€35","7 washes","no donations","carbon neutral",1,"Yes"
8,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"Yes"
8,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
8,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
8,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
8,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
8,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
9,1,"5","€100","7 washes","2% donated","carbon neutral",1,"Yes"
9,1,"10","€165","57 washes","no donations","37 ktons",0,NA
9,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
9,2,"12","€100","7 washes","no donations","72.6 ktons",1,"No"
9,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
9,2,"15","€35","32 washes","no donations","37 ktons",0,NA
9,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"No"
9,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
9,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
9,4,"23","€100","57 washes","2% donated","37 ktons",1,"No"
9,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
9,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
9,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
9,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
9,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
9,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
9,6,"20","€165","32 washes","2% donated","37 ktons",1,"No"
9,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
9,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
9,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
9,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
9,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
9,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
9,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
9,9,"29","€100","32 washes","4.75% donated","carbon neutral",0,NA
9,9,"6","€35","57 washes","no donations","72.6 ktons",1,"Yes"
9,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
9,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
9,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
9,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
10,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
10,1,"10","€165","57 washes","no donations","37 ktons",1,"No"
10,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
10,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
10,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
10,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
10,3,"8","€100","57 washes","2% donated","72.6 ktons",0,NA
10,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
10,3,"9","€35","7 washes","4.75% donated","37 ktons",1,"No"
10,4,"23","€100","57 washes","2% donated","37 ktons",1,"No"
10,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
10,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
10,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
10,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
10,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
10,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
10,6,"20","€165","32 washes","2% donated","37 ktons",1,"No"
10,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
10,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
10,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
10,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
10,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
10,8,"16","€35","32 washes","2% donated","72.6 ktons",0,NA
10,8,"21","€35","7 washes","no donations","carbon neutral",1,"Yes"
10,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"No"
10,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
10,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
10,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
10,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
10,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
11,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
11,1,"10","€165","57 washes","no donations","37 ktons",1,"No"
11,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
11,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
11,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
11,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
11,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"Yes"
11,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
11,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
11,4,"23","€100","57 washes","2% donated","37 ktons",0,NA
11,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
11,4,"24","€35","32 washes","no donations","72.6 ktons",1,"Yes"
11,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
11,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
11,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
11,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
11,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
11,6,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"No"
11,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
11,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
11,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
11,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
11,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
11,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
11,9,"29","€100","32 washes","4.75% donated","carbon neutral",0,NA
11,9,"6","€35","57 washes","no donations","72.6 ktons",1,"Yes"
11,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
11,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
11,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
11,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
12,1,"5","€100","7 washes","2% donated","carbon neutral",1,"Yes"
12,1,"10","€165","57 washes","no donations","37 ktons",0,NA
12,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
12,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
12,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
12,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
12,3,"8","€100","57 washes","2% donated","72.6 ktons",1,"Yes"
12,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
12,3,"9","€35","7 washes","4.75% donated","37 ktons",0,NA
12,4,"23","€100","57 washes","2% donated","37 ktons",1,"Yes"
12,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
12,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
12,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
12,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
12,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
12,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
12,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
12,6,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"No"
12,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
12,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
12,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
12,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
12,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
12,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
12,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"No"
12,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
12,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
12,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
12,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
12,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
13,1,"5","€100","7 washes","2% donated","carbon neutral",0,NA
13,1,"10","€165","57 washes","no donations","37 ktons",1,"No"
13,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
13,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
13,2,"14","€165","57 washes","2% donated","carbon neutral",0,NA
13,2,"15","€35","32 washes","no donations","37 ktons",1,"Yes"
13,3,"8","€100","57 washes","2% donated","72.6 ktons",0,NA
13,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
13,3,"9","€35","7 washes","4.75% donated","37 ktons",1,"Yes"
13,4,"23","€100","57 washes","2% donated","37 ktons",0,NA
13,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
13,4,"24","€35","32 washes","no donations","72.6 ktons",1,"Yes"
13,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
13,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
13,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
13,6,"18","€100","7 washes","no donations","carbon neutral",0,NA
13,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
13,6,"13","€35","7 washes","4.75% donated","72.6 ktons",1,"Yes"
13,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
13,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
13,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
13,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
13,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
13,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
13,9,"29","€100","32 washes","4.75% donated","carbon neutral",0,NA
13,9,"6","€35","57 washes","no donations","72.6 ktons",1,"Yes"
13,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
13,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
13,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
13,10,"25","€35","57 washes","no donations","carbon neutral",1,"Yes"
14,1,"5","€100","7 washes","2% donated","carbon neutral",1,"No"
14,1,"10","€165","57 washes","no donations","37 ktons",0,NA
14,1,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
14,2,"12","€100","7 washes","no donations","72.6 ktons",0,NA
14,2,"14","€165","57 washes","2% donated","carbon neutral",1,"Yes"
14,2,"15","€35","32 washes","no donations","37 ktons",0,NA
14,3,"8","€100","57 washes","2% donated","72.6 ktons",0,NA
14,3,"7","€165","32 washes","no donations","carbon neutral",0,NA
14,3,"9","€35","7 washes","4.75% donated","37 ktons",1,"No"
14,4,"23","€100","57 washes","2% donated","37 ktons",1,"Yes"
14,4,"22","€165","7 washes","4.75% donated","carbon neutral",0,NA
14,4,"24","€35","32 washes","no donations","72.6 ktons",0,NA
14,5,"4","€100","32 washes","4.75% donated","37 ktons",0,NA
14,5,"30","€165","7 washes","no donations","72.6 ktons",0,NA
14,5,"11","€35","57 washes","4.75% donated","carbon neutral",1,"Yes"
14,6,"18","€100","7 washes","no donations","carbon neutral",1,"No"
14,6,"20","€165","32 washes","2% donated","37 ktons",0,NA
14,6,"13","€35","7 washes","4.75% donated","72.6 ktons",0,NA
14,7,"1","€100","57 washes","no donations","72.6 ktons",0,NA
14,7,"3","€165","7 washes","4.75% donated","72.6 ktons",0,NA
14,7,"2","€35","32 washes","2% donated","carbon neutral",1,"Yes"
14,8,"19","€100","57 washes","4.75% donated","72.6 ktons",0,NA
14,8,"16","€35","32 washes","2% donated","72.6 ktons",1,"Yes"
14,8,"21","€35","7 washes","no donations","carbon neutral",0,NA
14,9,"29","€100","32 washes","4.75% donated","carbon neutral",1,"Yes"
14,9,"6","€35","57 washes","no donations","72.6 ktons",0,NA
14,9,"28","€35","7 washes","2% donated","37 ktons",0,NA
14,10,"27","€100","7 washes","2% donated","37 ktons",0,NA
14,10,"26","€165","32 washes","4.75% donated","72.6 ktons",0,NA
